Vendor,Product,Forecast Date,Qty,Model,Lookback,Created At
Vendor 8,Eggs,2026-04-08,27.57,MLNET_SSA,,2026-04-09
Vendor 6,Milk,2026-04-08,7.4,MLNET_SSA,,2026-04-09
Vendor 6,Tomatoes,2026-04-08,50.59,MLNET_SSA,,2026-04-09
Vendor 12,Eggs,2026-04-08,30.58,MLNET_SSA,,2026-04-09
Vendor 13,Milk,2026-04-08,25.57,MLNET_SSA,,2026-04-09
Vendor 1,Tomatoes,2026-04-08,14.52,MLNET_SSA,,2026-04-09
Vendor 5,Milk,2026-04-08,39.59,MLNET_SSA,,2026-04-09
Vendor 5,Tomatoes,2026-04-08,29.57,MLNET_SSA,,2026-04-09
Vendor 3,Milk,2026-04-08,42.26,MLNET_SSA,,2026-04-09
Vendor 9,Milk,2026-04-08,36.58,MLNET_SSA,,2026-04-09
Vendor 9,Tomatoes,2026-04-08,26.57,MLNET_SSA,,2026-04-09
Vendor 7,Eggs,2026-04-08,52.86,MLNET_SSA,,2026-04-09
Vendor 2,Tomatoes,2026-04-08,21.56,MLNET_SSA,,2026-04-09
Vendor 10,Tomatoes,2026-04-08,36.55,MLNET_SSA,,2026-04-09
Vendor 4,Eggs,2026-04-08,34.58,MLNET_SSA,,2026-04-09
Vendor 15,Eggs,2026-04-08,17.54,MLNET_SSA,,2026-04-09
Vendor 11,Tomatoes,2026-04-08,56.6,MLNET_SSA,,2026-04-09
Vendor 14,Tomatoes,2026-04-08,30.31,MLNET_SSA,,2026-04-09
