Vendor,Product,Forecast Date,Qty,Model,Lookback,Created At
Vendor 3,Onions,2026-04-08,59.57,MLNET_SSA,,2026-04-08
Vendor 1,Milk,2026-04-08,11.09,MLNET_SSA,,2026-04-08
Vendor 12,Eggs,2026-04-08,12.77,MLNET_SSA,,2026-04-08
Vendor 11,Milk,2026-04-08,56.57,MLNET_SSA,,2026-04-08
Vendor 10,Onions,2026-04-08,29.75,MLNET_SSA,,2026-04-08
Vendor 15,Milk,2026-04-08,12.44,MLNET_SSA,,2026-04-08
Vendor 15,Onions,2026-04-08,50.56,MLNET_SSA,,2026-04-08
Vendor 4,Onions,2026-04-08,25.53,MLNET_SSA,,2026-04-08
Vendor 8,Eggs,2026-04-08,30.54,MLNET_SSA,,2026-04-08
Vendor 2,Onions,2026-04-08,38.55,MLNET_SSA,,2026-04-08
Vendor 14,Milk,2026-04-08,37.81,MLNET_SSA,,2026-04-08
Vendor 6,Eggs,2026-04-08,29.54,MLNET_SSA,,2026-04-08
Vendor 13,Eggs,2026-04-08,35.55,MLNET_SSA,,2026-04-08
Vendor 13,Onions,2026-04-08,58.57,MLNET_SSA,,2026-04-08
